lambda,min.num.test.int,min.num.test.con,min.ratio.oc.int,min.ratio.oc.con,min.ratio.ltc.int,min.ratio.ltc.con,min.cost.test.int,min.cost.cons.int,min.cost.eqp.int,min.cost.war.int,min.cost.trn.int,min.cost.cme.int,min.cost.hss.int,min.cost.misc.int,min.cost.fee.int,min.cost.lab.int,min.cost.med.int,min.cost.trv.int,min.cost.food.int,min.cost.chc.int,min.cost.mw.int,min.cost.oth.int,min.cost.test.con,min.cost.cons.con,min.cost.eqp.con,min.cost.war.con,min.cost.trn.con,min.cost.cme.con,min.cost.hss.con,min.cost.misc.con,min.cost.fee.con,min.cost.lab.con,min.cost.med.con,min.cost.trv.con,min.cost.food.con,min.cost.chc.con,min.cost.mw.con,min.cost.oth.con ,max.num.test.int,max.num.test.con,max.ratio.oc.int,max.ratio.oc.con,max.ratio.ltc.int,max.ratio.ltc.con,max.cost.test.int,max.cost.cons.int,max.cost.eqp.int,max.cost.war.int,max.cost.trn.int,max.cost.cme.int,max.cost.hss.int,max.cost.misc.int,max.cost.fee.int,max.cost.lab.int,max.cost.med.int,max.cost.trv.int,max.cost.food.int,max.cost.chc.int,max.cost.mw.int,max.cost.oth.int,max.cost.test.con,max.cost.cons.con,max.cost.eqp.con,max.cost.war.con,max.cost.trn.con,max.cost.cme.con,max.cost.hss.con,max.cost.misc.con,max.cost.fee.con,max.cost.lab.con,max.cost.med.con,max.cost.trv.con,max.cost.food.con,max.cost.chc.con,max.cost.mw.con,max.cost.oth.con ,pe.num.test.int,pe.num.test.con,pe.ratio.oc.int,pe.ratio.oc.con,pe.ratio.ltc.int,pe.ratio.ltc.con,pe.cost.test.int,pe.cost.cons.int,pe.cost.eqp.int,pe.cost.war.int,pe.cost.trn.int,pe.cost.cme.int,pe.cost.hss.int,pe.cost.misc.int,pe.cost.fee.int,pe.cost.lab.int,pe.cost.med.int,pe.cost.trv.int,pe.cost.food.int,pe.cost.chc.int,pe.cost.mw.int,pe.cost.oth.int,pe.cost.test.con,pe.cost.cons.con,pe.cost.eqp.con,pe.cost.war.con,pe.cost.trn.con,pe.cost.cme.con,pe.cost.hss.con,pe.cost.misc.con,pe.cost.fee.con,pe.cost.lab.con,pe.cost.med.con,pe.cost.trv.con,pe.cost.food.con,pe.cost.chc.con,pe.cost.mw.con,pe.cost.oth.con ,alpha.num.test.int,alpha.num.test.con,alpha.ratio.oc.int,alpha.ratio.oc.con,alpha.ratio.ltc.int,alpha.ratio.ltc.con,alpha.cost.test.int,alpha.cost.cons.int,alpha.cost.eqp.int,alpha.cost.war.int,alpha.cost.trn.int,alpha.cost.cme.int,alpha.cost.hss.int,alpha.cost.misc.int,alpha.cost.fee.int,alpha.cost.lab.int,alpha.cost.med.int,alpha.cost.trv.int,alpha.cost.food.int,alpha.cost.chc.int,alpha.cost.mw.int,alpha.cost.oth.int,alpha.cost.test.con,alpha.cost.cons.con,alpha.cost.eqp.con,alpha.cost.war.con,alpha.cost.trn.con,alpha.cost.cme.con,alpha.cost.hss.con,alpha.cost.misc.con,alpha.cost.fee.con,alpha.cost.lab.con,alpha.cost.med.con,alpha.cost.trv.con,alpha.cost.food.con,alpha.cost.chc.con,alpha.cost.mw.con,alpha.cost.oth.con ,beta.num.test.int,beta.num.test.con,beta.ratio.oc.int,beta.ratio.oc.con,beta.ratio.ltc.int,beta.ratio.ltc.con,beta.cost.test.int,beta.cost.cons.int,beta.cost.eqp.int,beta.cost.war.int,beta.cost.trn.int,beta.cost.cme.int,beta.cost.hss.int,beta.cost.misc.int,beta.cost.fee.int,beta.cost.lab.int,beta.cost.med.int,beta.cost.trv.int,beta.cost.food.int,beta.cost.chc.int,beta.cost.mw.int,beta.cost.oth.int,beta.cost.test.con,beta.cost.cons.con,beta.cost.eqp.con,beta.cost.war.con,beta.cost.trn.con,beta.cost.cme.con,beta.cost.hss.con,beta.cost.misc.con,beta.cost.fee.con,beta.cost.lab.con,beta.cost.med.con,beta.cost.trv.con,beta.cost.food.con,beta.cost.chc.con,beta.cost.mw.con,beta.cost.oth.con ,ncp.num.test.int,ncp.num.test.con,ncp.ratio.oc.int,ncp.ratio.oc.con,ncp.ratio.ltc.int,ncp.ratio.ltc.con,ncp.cost.test.int,ncp.cost.cons.int,ncp.cost.eqp.int,ncp.cost.war.int,ncp.cost.trn.int,ncp.cost.cme.int,ncp.cost.hss.int,ncp.cost.misc.int,ncp.cost.fee.int,ncp.cost.lab.int,ncp.cost.med.int,ncp.cost.trv.int,ncp.cost.food.int,ncp.cost.chc.int,ncp.cost.mw.int,ncp.cost.oth.int,ncp.cost.test.con,ncp.cost.cons.con,ncp.cost.eqp.con,ncp.cost.war.con,ncp.cost.trn.con,ncp.cost.cme.con,ncp.cost.hss.con,ncp.cost.misc.con,ncp.cost.fee.con,ncp.cost.lab.con,ncp.cost.med.con,ncp.cost.trv.con,ncp.cost.food.con,ncp.cost.chc.con,ncp.cost.mw.con,ncp.cost.oth.con 
0.1,3,3,0.0881,0.0605,0.0912,0.0855,7.9,3,50.3,35.9,0.3,24.4,48.5,1.6,0,0,0,0,0,0,0,0,9.97,10.02,6.91,7.1,0.34,31.44,19.4,1.63,0,0,0,0,0,0,0,0,1.701,1.701,0.056,0.0316,0.0586,0.0509,10,11,96.9826765,59.76876347,2.875072445,66.43151088,131.6872428,6.651952767,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,17.1714003,11.83127572,2.696180672,66.43151088,62.55144033,8.651952767,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,2.268,2.268,0.0708,0.0444,0.0737,0.0667,8.95,7,67.83444896,44.8265726,1.306543566,40.15071223,75.06613757,3.768927124,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,11.46610356,8.87345679,1.474309602,42.80530002,31.80482069,4.338939608,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,5.891713088,6,7.394190871,5.05333891,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,4.244718982,7.234709774,8.436018957,5.767818778,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,5,5,0.0881,0.0605,0.0912,0.0855,7.9,3,28.31935075,20.17195767,0.19383351,13.71500609,27.28174603,0.928500353,0,0,0,0,0,0,0,0,9.97,10.02,3.89,3.99,0.19,17.68,10.91,0.92,0,0,0,0,0,0,0,0,3.024,3.024,0.056,0.0316,0.0586,0.0509,10,11,54.55275553,33.61992945,1.662801167,37.36772487,74.07407407,4.616723432,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,9.65891267,6.655092593,1.562174545,37.36772487,35.18518519,6.616723432,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,4.032,4.032,0.0708,0.0444,0.0737,0.0667,8.95,7,38.15687754,25.21494709,0.757717214,22.58477563,42.22470238,2.564084007,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,6.449683253,4.991319444,0.844490124,24.07798126,17.89021164,3.026903529,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,5.815269238,6,7.394190871,4.76496687,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,4.309046918,7.234709774,8.436018957,6.107874919,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,15,15,0.0881,0.0605,0.0912,0.0855,7.9,3,9.640630042,6.86704942,0.065985876,4.668938242,9.287402904,0.329276716,0,0,0,0,0,0,0,0,9.97,10.02,1.32,1.36,0.07,6.02,3.71,0.32,0,0,0,0,0,0,0,0,8.883,8.883,0.056,0.0316,0.0586,0.0509,10,11,18.57115082,11.44508237,0.634765645,12.72092761,25.21670607,2.890799466,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,3.288140483,2.265563436,0.600509774,12.72092761,11.97793538,4.890799466,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,11.844,11.844,0.0708,0.0444,0.0737,0.0667,8.95,7,12.98957533,8.583811775,0.292299123,7.688434257,14.37436677,1.542347747,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,2.195636852,1.699172577,0.310387891,8.196759579,6.090284814,1.914265031,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,5.539723511,6,7.394190871,4.334804848,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,4.561204884,7.234709774,8.436018957,6.598538383,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,20,20,0.0881,0.0605,0.0912,0.0855,7.9,3,7.15,5.1,0.05,3.46,6.89,0.25,0,0,0,0,0,0,0,0,9.97,10.02,0.98,1.01,0.05,4.47,2.76,0.24,0,0,0,0,0,0,0,0,11.97,11.97,0.056,0.0316,0.0586,0.0509,10,11,13.78,8.49,0.5,9.44,18.71,2.66,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,2.44,1.68,0.47,9.44,8.89,4.66,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,15.96,15.96,0.0708,0.0444,0.0737,0.0667,8.95,7,9.639632221,6.370091896,0.230348735,5.705627527,10.66729323,1.406347539,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,1.63,1.26,0.24,6.08,4.52,1.77,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,5.43,6,7.39,4.25,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.76,6,4.68,7.23,8.44,6.69,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,27,0.0881,0.0605,0.0912,0.0855,7.9,3,5.228187831,3.724053724,0.035784648,2.532001124,5.036630037,0.187723142,0,0,0,0,0,0,0,0,9.97,10.02,0.72,0.74,0.04,3.26,2.01,0.18,0,0,0,0,0,0,0,0,16.38,16.38,0.056,0.0316,0.0586,0.0509,10,11,10.07127794,6.206756207,0.391914574,6.898656899,13.67521368,2.483087403,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,1.783183877,1.228632479,0.373337352,6.898656899,6.495726496,4.483087403,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,21.84,21.84,0.0708,0.0444,0.0737,0.0667,8.95,7,7.044346623,4.655067155,0.182354204,4.169497039,7.79532967,1.30098474,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,1.190710754,0.921474359,0.184217835,4.445165771,3.302808303,1.651428344,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,5.28930216,6,7.394190871,4.185511829,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,4.822316041,7.234709774,8.436018957,6.76436669,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,49,49,0.0881,0.0605,0.0912,0.0855,7.9,3,2.892189013,2.060114826,0.019795763,1.400681473,2.786220871,0.112783015,0,0,0,0,0,0,0,0,9.97,10.02,0.4,0.41,0.02,1.81,1.11,0.1,0,0,0,0,0,0,0,0,29.61,29.61,0.056,0.0316,0.0586,0.0509,10,11,5.571345246,3.43352471,0.26334636,3.816278284,7.56501182,2.26723984,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.986442145,0.679669031,0.253069599,3.816278284,3.593380615,4.26723984,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,39.48,39.48,0.0708,0.0444,0.0737,0.0667,8.95,7,3.8968726,2.575143533,0.12414807,2.306530277,4.31231003,1.173204324,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.658691056,0.509751773,0.117421923,2.459027874,1.827085444,1.512279509,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,5.001778981,6,7.394190871,4.095096749,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,5.168380974,7.234709774,8.436018957,6.863711632,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,80,80,0.0881,0.0605,0.0912,0.0855,7.9,3,1.788590574,1.274018379,0.012242116,0.866210911,1.723057644,0.07737897,0,0,0,0,0,0,0,0,9.97,10.02,0.25,0.25,0.01,1.12,0.69,0.07,0,0,0,0,0,0,0,0,47.88,47.88,0.056,0.0316,0.0586,0.0509,10,11,3.445437191,2.123363965,0.20260674,2.360066834,4.678362573,2.165266743,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.61003659,0.420321637,0.196251375,2.360066834,2.222222222,4.165266743,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,63.84,63.84,0.0708,0.0444,0.0737,0.0667,8.95,7,2.409908055,1.592522974,0.096649684,1.426406882,2.666823308,1.112836885,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.407348416,0.315241228,0.085865458,1.520714606,1.129908104,1.446541276,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,4.765908437,6,7.394190871,4.049172283,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,5.497999443,7.234709774,8.436018957,6.913862616,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,102,102,0.0881,0.0605,0.0912,0.0855,7.9,3,1.392754955,0.992063492,0.009532796,0.674508496,1.341725215,0.064680345,0,0,0,0,0,0,0,0,9.97,10.02,0.19,0.2,0.01,0.87,0.54,0.05,0,0,0,0,0,0,0,0,61.488,61.488,0.056,0.0316,0.0586,0.0509,10,11,2.682922403,1.653439153,0.180820822,1.837756961,3.64298725,2.128691316,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.475028492,0.327299636,0.175871972,1.837756961,1.730418944,4.128691316,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,81.984,81.984,0.0708,0.0444,0.0737,0.0667,8.95,7,1.876567748,1.240079365,0.086786639,1.11072667,2.076624707,1.091184459,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.317197537,0.245474727,0.074546873,1.184163013,0.879846474,1.422962469,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,4.651631271,6,7.394190871,4.032155963,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,5.675530416,7.234709774,8.436018957,6.932392453,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,156,156,0.0881,0.0605,0.0912,0.0855,7.9,3,0.914141786,0.65114591,0.006256899,0.442717076,0.880648157,0.049326171,0,0,0,0,0,0,0,0,9.97,10.02,0.13,0.13,0.01,0.57,0.35,0.04,0,0,0,0,0,0,0,0,93.681,93.681,0.056,0.0316,0.0586,0.0509,10,11,1.760949741,1.085243183,0.154479011,1.206221112,2.391093178,2.084467199,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.311787363,0.214824778,0.151230808,1.206221112,1.13576926,4.084467199,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,124.908,124.908,0.0708,0.0444,0.0737,0.0667,8.95,7,1.231694769,0.813932388,0.074861024,0.72903109,1.36300317,1.065004057,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.208194214,0.161118583,0.060861334,0.777231406,0.577491701,1.394452838,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,4.481626782,6,7.394190871,4.011180484,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,5.964952398,7.234709774,8.436018957,6.955194659,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,202,202,0.0881,0.0605,0.0912,0.0855,7.9,3,0.707247053,0.503774177,0.004840795,0.342518362,0.681333928,0.042688875,0,0,0,0,0,0,0,0,9.97,10.02,0.1,0.1,0,0.44,0.27,0.03,0,0,0,0,0,0,0,0,121.086,121.086,0.056,0.0316,0.0586,0.0509,10,11,1.362399722,0.839623628,0.143091982,0.933221016,1.849924847,2.065350013,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.241221544,0.166204185,0.140578934,0.933221016,0.878714302,4.065350013,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,161.448,161.448,0.0708,0.0444,0.0737,0.0667,8.95,7,0.952929304,0.629717721,0.069705824,0.564031858,1.054519102,1.053686801,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.161074296,0.124653139,0.054945354,0.601323153,0.446789885,1.382128704,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,4.39410127,6,7.394190871,4.001974142,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,6.127292744,7.234709774,8.436018957,6.965189221,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,322,322,0.0881,0.0605,0.0912,0.0855,7.9,3,0.443790022,0.316112951,0.003037548,0.214926638,0.42752981,0.034237028,0,0,0,0,0,0,0,0,9.97,10.02,0.06,0.06,0,0.28,0.17,0.02,0,0,0,0,0,0,0,0,192.969,192.969,0.056,0.0316,0.0586,0.0509,10,11,0.85489137,0.526854918,0.128591889,0.585586286,1.160808213,2.04100644,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.15136396,0.104291363,0.127014978,0.585586286,0.551383901,4.04100644,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,257.292,257.292,0.0708,0.0444,0.0737,0.0667,8.95,7,0.597953027,0.395141188,0.063141259,0.353924006,0.661699548,1.039275557,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.101072411,0.078218522,0.047412023,0.377323898,0.280355912,1.366435315,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,4.266884617,6,7.394190871,3.990126805,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,6.381671897,7.234709774,8.436018957,6.978038754,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,418,418,0.0881,0.0605,0.0912,0.0855,7.9,3,0.341539909,0.243279892,0.002337691,0.165407109,0.329026083,0.030956788,0,0,0,0,0,0,0,0,9.97,10.02,0.05,0.05,0,0.21,0.13,0.02,0,0,0,0,0,0,0,0,250.74,250.74,0.056,0.0316,0.0586,0.0509,10,11,0.65792268,0.405466486,0.122964269,0.450666029,0.893355667,2.031558474,0.38,0,0.16,1.85,3.91,1.56,1.15,7.82,9.99,20.02,0.116489399,0.080262423,0.121750681,0.450666029,0.424343942,4.031558474,0.16,0.16,0.16,2.74,3.13,0,1.55,0.16,334.32,334.32,0.0708,0.0444,0.0737,0.0667,8.95,7,0.460183448,0.304099864,0.060593491,0.272379204,0.509242642,1.03368242,0.013,0,0.03,0.1,0.05,0.02,0.15,0.09,9.98,13.35,0.08,0.06,0.04,0.29,0.22,1.36,0.02,0,0.03,0.17,0.06,0,0.14,0.01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.506756757,4.7734375,4.476821192,4.569620253,4,4,6,6,4.21190909,6,7.394190871,3.985490811,86.48,4,13.3,51.57,253,304,21.5,248.82,4,7,4.759143712,6,6.499028963,7.234709774,8.436018957,6.983063204,24.36,172,12.91,46.8,147.14,4,32.04,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Take from table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Take from table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Update values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjust  later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,                                                                                                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
